### Printing all connections in the network
### From file: .\TopologyFiles\large_topo_file
### Data was parsed at: 2023-11-17 11:05:33.871588

Switch:
sysimgguid=0x2c900000085bf
Connected to: S-0002c900000089c0, Ports:=[57]=>[1]
Connected to: S-0002c900000089c0, Ports:=[58]=>[2]
Connected to: S-0002c900000089c0, Ports:=[59]=>[3]
Connected to: S-0002c900000089c0, Ports:=[60]=>[4]
Connected to: S-0002c900000089c0, Ports:=[61]=>[5]
Connected to: S-0002c900000089c0, Ports:=[62]=>[6]
Connected to: S-0002c900000089c0, Ports:=[63]=>[7]
Connected to: S-0002c900000089c0, Ports:=[64]=>[8]


Switch:
sysimgguid=0x2c900000085af
Connected to: H-0002c900000080f9, Ports:=[1]=>[1]
Connected to: H-0002c90000008119, Ports:=[2]=>[1]
Connected to: H-0002c90000008139, Ports:=[3]=>[1]
Connected to: H-0002c90000008159, Ports:=[4]=>[1]
Connected to: H-0002c90000008179, Ports:=[5]=>[1]
Connected to: H-0002c90000008199, Ports:=[6]=>[1]
Connected to: H-0002c900000081b9, Ports:=[7]=>[1]
Connected to: H-0002c90000000219, Ports:=[8]=>[1]
Connected to: H-0002c90000000239, Ports:=[9]=>[1]
Connected to: H-0002c90000000259, Ports:=[10]=>[1]
Connected to: H-0002c90000000279, Ports:=[11]=>[1]
Connected to: H-0002c90000000299, Ports:=[12]=>[1]
Connected to: H-0002c900000002b9, Ports:=[13]=>[1]
Connected to: H-0002c900000002d9, Ports:=[14]=>[1]
Connected to: H-0002c900000002f9, Ports:=[15]=>[1]
Connected to: H-0002c90000000319, Ports:=[16]=>[1]
Connected to: H-0002c90000000339, Ports:=[17]=>[1]
Connected to: H-0002c90000000379, Ports:=[18]=>[1]
Connected to: H-0002c90000000399, Ports:=[19]=>[1]
Connected to: H-0002c900000003b9, Ports:=[20]=>[1]
Connected to: H-0002c900000003d9, Ports:=[21]=>[1]
Connected to: H-0002c900000003f9, Ports:=[22]=>[1]
Connected to: H-0002c90000000419, Ports:=[23]=>[1]
Connected to: H-0002c90000000439, Ports:=[24]=>[1]
Connected to: H-0002c90000000459, Ports:=[25]=>[1]
Connected to: H-0002c90000000479, Ports:=[26]=>[1]
Connected to: H-0002c90000000499, Ports:=[27]=>[1]
Connected to: H-0002c900000004d9, Ports:=[28]=>[1]
Connected to: H-0002c900000004f9, Ports:=[29]=>[1]
Connected to: H-0002c90000000519, Ports:=[30]=>[1]
Connected to: H-0002c90000000539, Ports:=[31]=>[1]
Connected to: H-0002c90000000559, Ports:=[32]=>[1]
Connected to: S-0002c900000089a4, Ports:=[33]=>[25]
Connected to: S-0002c900000089a4, Ports:=[34]=>[26]
Connected to: S-0002c900000089a4, Ports:=[35]=>[27]
Connected to: S-0002c900000089a4, Ports:=[36]=>[28]
Connected to: S-0002c900000089a4, Ports:=[37]=>[29]
Connected to: S-0002c900000089a4, Ports:=[38]=>[30]
Connected to: S-0002c900000089a4, Ports:=[39]=>[31]
Connected to: S-0002c900000089a4, Ports:=[40]=>[32]
Connected to: S-0002c900000089a8, Ports:=[41]=>[25]
Connected to: S-0002c900000089a8, Ports:=[42]=>[26]
Connected to: S-0002c900000089a8, Ports:=[43]=>[27]
Connected to: S-0002c900000089a8, Ports:=[44]=>[28]
Connected to: S-0002c900000089a8, Ports:=[45]=>[29]
Connected to: S-0002c900000089a8, Ports:=[46]=>[30]
Connected to: S-0002c900000089a8, Ports:=[47]=>[31]
Connected to: S-0002c900000089a8, Ports:=[48]=>[32]
Connected to: S-0002c900000089ac, Ports:=[49]=>[25]
Connected to: S-0002c900000089ac, Ports:=[50]=>[26]
Connected to: S-0002c900000089ac, Ports:=[51]=>[27]
Connected to: S-0002c900000089ac, Ports:=[52]=>[28]
